ice_sheet,melt_season,geojson,start_date,end_date,status_url,request_code,ngranules_request,status,orderID,status_txt,nprocessed,n_links,gran_list_url,order_overview_url,order_summary_url,available_until
AIS,2022-23,simplified_ANT_1000_Peninsula_Hp-I.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624223,201,203,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_Peninsula_Ipp-J.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624224,201,79,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_Peninsula_Ipp-J.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624225,201,83,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_Peninsula_Ipp-J.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624226,201,81,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_Peninsula_Ipp-J.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624227,201,85,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_Peninsula_Ipp-J.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624228,201,79,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_East_D-Dp.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624229,201,267,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_East_D-Dp.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624230,201,280,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_East_D-Dp.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624231,201,275,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_East_D-Dp.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624232,201,280,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_East_D-Dp.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624233,201,269,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_West_J-Jpp.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624234,201,976,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_West_J-Jpp.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624235,201,1016,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_West_J-Jpp.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624236,201,992,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_West_J-Jpp.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624237,201,1003,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_West_J-Jpp.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624239,201,980,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_East_C-Cp.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624240,201,381,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_East_C-Cp.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624241,201,399,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_East_C-Cp.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624242,201,390,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_East_C-Cp.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624243,201,394,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_East_C-Cp.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624244,201,387,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_East_A-Ap.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624245,201,525,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_East_A-Ap.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624247,201,539,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_East_A-Ap.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624248,201,531,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_East_A-Ap.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624249,201,536,,,-1,0,0,,,,
