,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
68,ATL03_20190826032957_09020403_006_02.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2019_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2019_2000_SW-135549_ATL03_20190826032957_09020403_006_02.h5-142.log,The job restarted too many times,False
69,ATL03_20200706005932_01630805_006_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2020_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2020_2000_SW-135549_ATL03_20200706005932_01630805_006_01.h5-145.log,The job restarted too many times,False
70,ATL03_20200811231859_07270805_006_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2020_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2020_2000_SW-135549_ATL03_20200811231859_07270805_006_01.h5-146.log,The job restarted too many times,False
71,ATL03_20200901221141_10470805_006_02.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2020_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2020_2000_SW-135549_ATL03_20200901221141_10470805_006_02.h5-147.log,The job restarted too many times,False
72,ATL03_20210905041712_11231205_006_02.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2021_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2021_2000_SW-135549_ATL03_20210905041712_11231205_006_02.h5-155.log,The job restarted too many times,False
73,ATL03_20220711133622_03001605_006_02.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2022_2000_SW-135549_ATL03_20220711133622_03001605_006_02.h5-159.log,The job restarted too many times,False
74,ATL03_20220719131943_04221605_006_02.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2022_2000_SW-135549_ATL03_20220719131943_04221605_006_02.h5-160.log,The job restarted too many times,False
75,ATL03_20220727130304_05441605_006_02.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2022_2000_SW-135549_ATL03_20220727130304_05441605_006_02.h5-162.log,The job restarted too many times,False
76,ATL03_20220828224559_10391603_006_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2022_2000_SW-135549_ATL03_20220828224559_10391603_006_01.h5-164.log,The job restarted too many times,False
77,ATL03_20220909222056_12221603_006_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2022_2000_SW-135549_ATL03_20220909222056_12221603_006_01.h5-165.log,The job restarted too many times,False
78,ATL03_20230523101904_09631903_006_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2023_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2023_2000_SW-135549_ATL03_20230523101904_09631903_006_01.h5-166.log,The job restarted too many times,False
79,ATL03_20190527190044_09090305_006_02.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2019_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2019_2000_CE-135549_ATL03_20190527190044_09090305_006_02.h5-168.log,The job restarted too many times,False
80,ATL03_20190624051731_13280303_006_02.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2019_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2019_2000_CE-135549_ATL03_20190624051731_13280303_006_02.h5-172.log,The job restarted too many times,False
81,ATL03_20190719164637_03300405_006_02.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2019_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2019_2000_CE-135549_ATL03_20190719164637_03300405_006_02.h5-173.log,The job restarted too many times,False
82,ATL03_20190729025353_04740403_006_02.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2019_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2019_2000_CE-135549_ATL03_20190729025353_04740403_006_02.h5-177.log,The job restarted too many times,False
83,ATL03_20190731162146_05130405_006_02.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2019_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2019_2000_CE-135549_ATL03_20190731162146_05130405_006_02.h5-178.log,The job restarted too many times,False
84,ATL03_20190802024535_05350403_006_02.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2019_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2019_2000_CE-135549_ATL03_20190802024535_05350403_006_02.h5-179.log,The job restarted too many times,False
85,ATL03_20190816030335_07490403_006_02.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2019_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2019_2000_CE-135549_ATL03_20190816030335_07490403_006_02.h5-181.log,The job restarted too many times,False
86,ATL03_20190817152250_07720405_006_02.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2019_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2019_2000_CE-135549_ATL03_20190817152250_07720405_006_02.h5-182.log,The job restarted too many times,False
87,ATL03_20200516131144_07790703_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2020_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2020_2000_CE-135549_ATL03_20200516131144_07790703_006_01.h5-184.log,The job restarted too many times,False
88,ATL03_20200520021358_08330705_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2020_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2020_2000_CE-135549_ATL03_20200520021358_08330705_006_01.h5-185.log,The job restarted too many times,False
89,ATL03_20200526011418_09240705_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2020_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2020_2000_CE-135549_ATL03_20200526011418_09240705_006_01.h5-186.log,The job restarted too many times,False
90,ATL03_20200606011457_10920705_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2020_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2020_2000_CE-135549_ATL03_20200606011457_10920705_006_01.h5-187.log,The job restarted too many times,False
91,ATL03_20200611004056_11680705_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2020_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2020_2000_CE-135549_ATL03_20200611004056_11680705_006_01.h5-188.log,The job restarted too many times,False
92,ATL03_20200615003237_12290705_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2020_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2020_2000_CE-135549_ATL03_20200615003237_12290705_006_01.h5-189.log,The job restarted too many times,False
93,ATL03_20200627105706_00320803_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2020_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2020_2000_CE-135549_ATL03_20200627105706_00320803_006_01.h5-190.log,The job restarted too many times,False
94,ATL03_20200705232517_01620805_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2020_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2020_2000_CE-135549_ATL03_20200705232517_01620805_006_01.h5-191.log,The job restarted too many times,False
95,ATL03_20200713230840_02840805_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2020_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2020_2000_CE-135549_ATL03_20200713230840_02840805_006_01.h5-193.log,The job restarted too many times,False
